web_scraper_order,web_scraper_start_url,pagination,price,data,data2,title,image,image2,image3,item_page_title,item_page_link,data_1,data_2,Product_Color,Product_Size,image_1
"1771962234-1","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€2,077.50","What Goes Around Comes Around","Louis Vuitton Monogram Lock BB Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb40131102d9/wgadb40131102d9_1758571666703_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundLouis Vuitton Monogram Lock BB Bag€2,077.50","https://www.shopbop.com/monogram-locky-what-goes-around/vp/v=1/1599461094.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2096034785&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_100","What Goes Around Comes Around","Louis Vuitton Monogram Lock BB Bag","Red","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb40131102d9/wgadb40131102d9_1758571666703_2-0._QL90_UX1128_.jpg"
"1771962238-2","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€165.35","Marc Jacobs","The Leather Mini Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb3420711266/mjadb3420711266_1758918099762_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueMarc JacobsThe Leather Mini Bag€165.35","https://www.shopbop.com/mini-bag-marc-jacobs/vp/v=1/1508280488.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2013782304&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_99","Marc Jacobs","The Leather Mini Bag","Cherry","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb3420711266/mjadb3420711266_1758918099762_2-0._QL90_UX1128_.jpg"
"1771962244-3","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","Previous Price €292.55","Themoire","Emera Croco Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/themo/themo300692262d/themo300692262d_1760023354474_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueThemoireEmera Croco BagPrevious Price €292.55Sale Price €204.78","https://www.shopbop.com/emera-croco-themoire/vp/v=1/1521388203.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2090584322&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_98","Themoire","Emera Croco Bag","Ebony","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/themo/themo300692262d/themo300692262d_1760023354474_2-0._QL90_UX1128_.jpg"
"1771962248-4","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","Previous Price €402.78","Bembien","Gabrielle Grande Weave Bag","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/bembi/bembi3011714320/bembi3011714320_1761847436559_2-0._QL90_UX1128_.jpg","","","BembienGabrielle Grande Weave BagPrevious Price €402.78Sale Price €241.67","https://www.shopbop.com/gabrielle-bag-grande-weave-black/vp/v=1/1542329008.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2016547062&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_97","Bembien","Gabrielle Grande Weave Bag","Black Suede","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/bembi/bembi3011714320/bembi3011714320_1761847436559_2-0._QL90_UX1128_.jpg"
"1771962253-5","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","Previous Price €402.78","Bembien","Suede Sera Tote","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/bembi/bembi3011911864/bembi3011911864_1761241414218_2-0._QL90_UX1128_.jpg","","","BembienSuede Sera TotePrevious Price €402.78Sale Price €281.95","https://www.shopbop.com/sera-tote-suede-brown-bembien/vp/v=1/1513632543.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2095088639&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_96","Bembien","Suede Sera Tote","Brown Suede","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/bembi/bembi3011911864/bembi3011911864_1761241414218_2-0._QL90_UX1128_.jpg"
"1771962258-6","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,229.54","What Goes Around Comes Around","Gucci Brown Canvas Round Messenger Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb4027211409/wgadb4027211409_1761340202827_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundGucci Brown Canvas Round Messenger Bag€1,229.54","https://www.shopbop.com/gucci-brown-canvas-round-messenger/vp/v=1/1590853617.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2082672077&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_95","What Goes Around Comes Around","Gucci Brown Canvas Round Messenger Bag","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb4027211409/wgadb4027211409_1761340202827_2-0._QL90_UX1128_.jpg"
"1771962262-7","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,568.73","What Goes Around Comes Around","Gucci x Balenciaga Leather Hacker Jackie 1961 Shoulder Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb402291071b/wgadb402291071b_1763742380367_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundGucci x Balenciaga Leather Hacker Jackie 1961 Shoulder Bag€1,568.73","https://www.shopbop.com/gucci-black-leather-hacker-jackie1961/vp/v=1/1500761848.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2095176199&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_94","What Goes Around Comes Around","Gucci x Balenciaga Leather Hacker Jackie 1961 Shoulder Bag","Black","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb402291071b/wgadb402291071b_1763742380367_2-0._QL90_UX1128_.jpg"
"1771962267-8","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","Previous Price €591.88","Marc Jacobs","The Mini Icon Stud Sack Bag","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb342491fbea/mjadb342491fbea_1762883638836_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueMarc JacobsThe Mini Icon Stud Sack BagPrevious Price €591.88Sale Price €414.31","https://www.shopbop.com/sack-marc-jacobs/vp/v=1/1595215378.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2012537860&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_93","Marc Jacobs","The Mini Icon Stud Sack Bag","Black multi","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb342491fbea/mjadb342491fbea_1762883638836_2-0._QL90_UX1128_.jpg"
"1771962271-9","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€2,331.89","What Goes Around Comes Around","Louis Vuitton Monogram Pallas NM BB Tote","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb404241071b/wgadb404241071b_1764621757206_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueWhat Goes Around Comes AroundLouis Vuitton Monogram Pallas NM BB Tote€2,331.89","https://www.shopbop.com/monogram-pallas-what-goes-around/vp/v=1/1511157694.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2077021165&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_92","What Goes Around Comes Around","Louis Vuitton Monogram Pallas NM BB Tote","Black","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb404241071b/wgadb404241071b_1764621757206_2-0._QL90_UX1128_.jpg"
"1771962275-10","https://www.shopbop.com/bags/br/v=1/13505.htm","https://www.shopbop.com/bags/br/v=1/13505.htm?offset=1400","€1,144.75","Shopbop Archive","Louis Vuitton Marly Bandouliere, Monogra","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3051711409/sbadb3051711409_q1_2-0._QL90_UX1128_.jpg","","","Designer BoutiqueShopbop ArchiveLouis Vuitton Marly Bandouliere, Monogra€1,144.75","https://www.shopbop.com/louis-vuitton-marly-bandouliere-monogra/vp/v=1/1542358144.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2050778069&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_91","Shopbop Archive","Louis Vuitton Marly Bandouliere, Monogra","Brown","One Size","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3051711409/sbadb3051711409_q1_2-0._QL90_UX1128_.jpg"
