Product page URL,Product name,Brand name,Retailer,Product description,Color,Original price,Sale price,Product image URL,Size availability
https://www.shopbop.com/monogram-locky-what-goes-around/vp/v=1/1599461094.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2096034785&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_100,Louis Vuitton Monogram Lock BB Bag,Louis Vuitton,Shopbop,Louis Vuitton Louis Vuitton Monogram Lock BB Bag,Red,"€2,077.50",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb40131102d9/wgadb40131102d9_1758571666703_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/mini-bag-marc-jacobs/vp/v=1/1508280488.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2013782304&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_99,The Leather Mini Bag,Marc Jacobs,Shopbop,Marc Jacobs The Leather Mini Bag,Cherry,€165.35,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb3420711266/mjadb3420711266_1758918099762_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/emera-croco-themoire/vp/v=1/1521388203.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2090584322&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_98,Emera Croco Bag,Themoire,Shopbop,Themoire Emera Croco Bag,Ebony,€292.55,€204.78,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/themo/themo300692262d/themo300692262d_1760023354474_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/gabrielle-bag-grande-weave-black/vp/v=1/1542329008.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2016547062&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_97,Gabrielle Grande Weave Bag,Bembien,Shopbop,Bembien Gabrielle Grande Weave Bag,Black Suede,€402.78,€241.67,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/bembi/bembi3011714320/bembi3011714320_1761847436559_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/sera-tote-suede-brown-bembien/vp/v=1/1513632543.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2095088639&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_96,Suede Sera Tote,Bembien,Shopbop,Bembien Suede Sera Tote,Brown Suede,€402.78,€281.95,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/bembi/bembi3011911864/bembi3011911864_1761241414218_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/gucci-brown-canvas-round-messenger/vp/v=1/1590853617.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2082672077&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_95,Gucci Brown Canvas Round Messenger Bag,Gucci,Shopbop,Gucci Gucci Brown Canvas Round Messenger Bag,Brown,"€1,229.54",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb4027211409/wgadb4027211409_1761340202827_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/gucci-black-leather-hacker-jackie1961/vp/v=1/1500761848.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2095176199&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_94,Gucci x Balenciaga Leather Hacker Jackie 1961 Shoulder Bag,Gucci,Shopbop,Gucci Gucci x Balenciaga Leather Hacker Jackie 1961 Shoulder Bag,Black,"€1,568.73",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb402291071b/wgadb402291071b_1763742380367_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/sack-marc-jacobs/vp/v=1/1595215378.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2012537860&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_93,The Mini Icon Stud Sack Bag,Marc Jacobs,Shopbop,Marc Jacobs The Mini Icon Stud Sack Bag,Black multi,€591.88,€414.31,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mjadb/mjadb342491fbea/mjadb342491fbea_1762883638836_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/monogram-pallas-what-goes-around/vp/v=1/1511157694.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2077021165&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_92,Louis Vuitton Monogram Pallas NM BB Tote,Louis Vuitton,Shopbop,Louis Vuitton Louis Vuitton Monogram Pallas NM BB Tote,Black,"€2,331.89",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wgadb/wgadb404241071b/wgadb404241071b_1764621757206_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/louis-vuitton-marly-bandouliere-monogra/vp/v=1/1542358144.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2050778069&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_91,"Louis Vuitton Marly Bandouliere, Monogra",Louis Vuitton,Shopbop,"Louis Vuitton Louis Vuitton Marly Bandouliere, Monogra",Brown,"€1,144.75",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3051711409/sbadb3051711409_q1_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/romy-large-bucket-bag-tory/vp/v=1/1512397089.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2026251775&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_NB_90,Romy Large Bucket Bag,Tory Burch,Shopbop,Tory Burch Romy Large Bucket Bag,Deep Brown,€419.74,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/toryb/toryb5140510865/toryb5140510865_1762187851438_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/louis-vuitton-pochette-metis-monogram/vp/v=1/1570871014.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2000604301&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_89,Louis Vuitton Pochette Metis Monogram Bag,Louis Vuitton,Shopbop,Louis Vuitton Louis Vuitton Pochette Metis Monogram Bag,Brown,"€2,115.66",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3057411409/sbadb3057411409_q1_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/ps1-mini-crossbody-bag-nubuck/vp/v=1/1551366691.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2037873998&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_88,PS1 Mini Crossbody Bag In Nubuck Calf,Proenza Schouler,Shopbop,Proenza Schouler PS1 Mini Crossbody Bag In Nubuck Calf,Tobacco,"€1,433.05",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/prosh/prosh20845193ff/prosh20845193ff_1735923074515_2-1._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/oskan-moon-isabel-marant/vp/v=1/1570511277.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2080971575&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_87,Oskan Moon,Isabel Marant,Shopbop,Isabel Marant Oskan Moon,Cognac,€550.28,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3142413711/ismdb3142413711_1678491352995_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/mini-slide-bag-proenza-schouler/vp/v=1/1530959753.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2065964401&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_86,Mini Slide Bag,Proenza Schouler,Shopbop,Proenza Schouler Mini Slide Bag,White,€635.97,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/prosh/prosh208481c925/prosh208481c925_1736952716389_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/louis-vuitton-amazone-shopbop-archive/vp/v=1/1508619870.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2094767787&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_85,Louis Vuitton Amazone,Louis Vuitton,Shopbop,Louis Vuitton Louis Vuitton Amazone,Brown,€975.15,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3019911409/sbadb3019911409_q1_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/oskan-moon-isabel-marant/vp/v=1/1572536423.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2015231135&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_84,Naoko Bag,Isabel Marant,Shopbop,Isabel Marant Naoko Bag,Black,"€1,178.66",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb301701071c/ismdb301701071c_q1_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/louis-vuitton-navona-damier-ebene/vp/v=1/1556127455.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2063740652&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_83,Louis Vuitton Navona Damier Ebene Bag,Louis Vuitton,Shopbop,Louis Vuitton Louis Vuitton Navona Damier Ebene Bag,Brown,"€1,352.50",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3053611409/sbadb3053611409_q1_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/louis-vuitton-noe-monogram-shopbop/vp/v=1/1583477722.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2063452435&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_82,Louis Vuitton Noe Monogram Bucket Bag,Louis Vuitton,Shopbop,Louis Vuitton Louis Vuitton Noe Monogram Bucket Bag,Brown,"€1,522.09",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3079611409/sbadb3079611409_1616771165843_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/hug-soft-bicolor-ferragamo/vp/v=1/1553958216.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2048244283&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_81,Hug Soft Bicolor Bag,FERRAGAMO,Shopbop,FERRAGAMO Hug Soft Bicolor Bag,Nero Flame Red,"€2,543.88",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ferrg/ferrg3214920c41/ferrg3214920c41_1690822966203_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/musubi-micro-bag-acne-studios/vp/v=1/1589383099.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2093300356&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_80,Musubi Micro Bag,Acne Studios,Shopbop,Acne Studios Musubi Micro Bag,White/Black,€763.16,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/acndb/acndb3138011656/acndb3138011656_q1_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/louis-vuitton-pochette-bosphore-mono/vp/v=1/1541481475.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2091449319&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_79,"Louis Vuitton Pochette Bosphore, Mono",Louis Vuitton,Shopbop,"Louis Vuitton Louis Vuitton Pochette Bosphore, Mono",Brown,"€1,144.75",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3169211409/sbadb3169211409_1670871014043_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/fendi-shoulder-bag-zucchino-canvas/vp/v=1/1500523746.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2037236440&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_78,"Fendi Shoulder Bag, Zucchino Canvas",Fendi,Shopbop,"Fendi Fendi Shoulder Bag, Zucchino Canvas",Brown,"€1,712.88",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb3276211409/sbadb3276211409_1716298563315_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/a10356-acne-studios/vp/v=1/1578605271.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2081823624&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_77,Multipocket Micro Bag,Acne Studios,Shopbop,Acne Studios Multipocket Micro Bag,Pink,"€1,017.55",,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/acndb/acndb3214120f3d/acndb3214120f3d_1709321142298_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/prada-way-tote-bag-canapa/vp/v=1/1501538452.htm?os=false&breadcrumb=Shop+Women%27s%3EBags&folderID=13505&colorSin=2028940235&fm=browse-page-web&ref_=SB_PLP_PDP_W_BAGS_13505_DB_76,"Prada 2-Way Tote Bag, Canapa Canvas",Prada,Shopbop,"Prada Prada 2-Way Tote Bag, Canapa Canvas",Black,€932.76,,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/sbadb/sbadb329081071b/sbadb329081071b_1720535832443_2-0._QL90_UX1128_.jpg,One Size
