web_scraper_order,web_scraper_start_url,pagination,price,data,data2,title,image,image2,image3,image4,item_page_title,item_page_link,data_1,data_2,Product_Name,image_1
"1771964290-1","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €250.15","A.L.C.","Brooklyn Top","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/alccc/alccc429461bbd6/alccc429461bbd6_1746650553916_2-0._QL90_UX1128_.jpg","","","","A.L.C.Brooklyn TopPrevious Price €250.15Sale Price €50.03","https://www.shopbop.com/brooklyn-top-alc/vp/v=1/1554041646.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2091124819&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_100","A.L.C.","Brooklyn Top","A.L.C.Brooklyn Top","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/alccc/alccc429461bbd6/alccc429461bbd6_1746650553916_2-0._QL90_UX1128_.jpg"
"1771964292-2","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €250.15","Eugenia Kim LOVE","Morgan Jacket","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/euglv/euglv3000326329/euglv3000326329_1743808069779_2-0._QL90_UX1128_.jpg","","","","Eugenia Kim LOVEMorgan JacketPrevious Price €250.15Sale Price €50.03","https://www.shopbop.com/morgan-jacket-eugenia-kim-love/vp/v=1/1556011329.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2024032680&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_99","Eugenia Kim LOVE","Morgan Jacket","Eugenia Kim LOVEMorgan Jacket","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/euglv/euglv3000326329/euglv3000326329_1743808069779_2-0._QL90_UX1128_.jpg"
"1771964295-3","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €419.74","A.L.C.","Charles Pants","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/alccc/alccc4293215566/alccc4293215566_1749680443604_2-0._QL90_UX1128_.jpg","","","","A.L.C.Charles PantsPrevious Price €419.74Sale Price €104.94","https://www.shopbop.com/charles-pant-alc/vp/v=1/1513824885.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2027103042&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_98","A.L.C.","Charles Pants","A.L.C.Charles Pants","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/alccc/alccc4293215566/alccc4293215566_1749680443604_2-0._QL90_UX1128_.jpg"
"1771964297-4","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €250.15","A.L.C.","Charlotte Top","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/alccc/alccc4291815566/alccc4291815566_1749678456016_2-0._QL90_UX1128_.jpg","","","","A.L.C.Charlotte TopPrevious Price €250.15Sale Price €50.03","https://www.shopbop.com/charlotte-top-alc/vp/v=1/1548814894.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2096627803&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_97","A.L.C.","Charlotte Top","A.L.C.Charlotte Top","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/alccc/alccc4291815566/alccc4291815566_1749678456016_2-0._QL90_UX1128_.jpg"
"1771964300-5","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €127.19","Agua Bendita","Emory Crop Top","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/aguab/aguab30444102cb/aguab30444102cb_1746721339862_2-0._QL90_UX1128_.jpg","","","","Agua BenditaEmory Crop TopPrevious Price €127.19Sale Price €25.44","https://www.shopbop.com/emory-crop-top-agua-bendita/vp/v=1/1544465323.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2007604002&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_96","Agua Bendita","Emory Crop Top","Agua BenditaEmory Crop Top","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/aguab/aguab30444102cb/aguab30444102cb_1746721339862_2-0._QL90_UX1128_.jpg"
"1771964303-6","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €250.15","Veronica Beard","Zip Back Scuba Pants","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/vbear/vbear3065612560/vbear3065612560_1753285148791_2-0._QL90_UX1128_.jpg","","","","Designer BoutiqueVeronica BeardZip Back Scuba PantsPrevious Price €250.15Sale Price €50.03","https://www.shopbop.com/zip-back-scuba-pant-veronica/vp/v=1/1547753868.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2057966976&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_DB_95","Veronica Beard","Zip Back Scuba Pants","Veronica BeardZip Back Scuba Pants","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/vbear/vbear3065612560/vbear3065612560_1753285148791_2-0._QL90_UX1128_.jpg"
"1771964306-7","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €168.74","Fanm Mon","Derya Top","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/famon/famon301391c925/famon301391c925_1743684938733_2-0._QL90_UX1128_.jpg","","","","Fanm MonDerya TopPrevious Price €168.74Sale Price €33.75","https://www.shopbop.com/derya-top-fanm-mon/vp/v=1/1524792874.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2047727504&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_94","Fanm Mon","Derya Top","Fanm MonDerya Top","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/famon/famon301391c925/famon301391c925_1743684938733_2-0._QL90_UX1128_.jpg"
"1771964308-8","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €507.08","Veronica Beard","Dawna Knit Dress","Designer Boutique","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/vbear/vbear3286819784/vbear3286819784_1749758089582_2-0._QL90_UX1128_.jpg","","","","Designer BoutiqueVeronica BeardDawna Knit DressPrevious Price €507.08Sale Price €101.42","https://www.shopbop.com/dawna-knit-dress-veronica-beard/vp/v=1/1530159156.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2091480874&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_DB_93","Veronica Beard","Dawna Knit Dress","Veronica BeardDawna Knit Dress","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/vbear/vbear3286819784/vbear3286819784_1749758089582_2-0._QL90_UX1128_.jpg"
"1771964311-9","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €50.03","Lioness","Mariah Cami","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lione/lione30666124bd/lione30666124bd_1749231620054_2-0._QL90_UX1128_.jpg","","","","LionessMariah CamiPrevious Price €50.03Sale Price €10.01","https://www.shopbop.com/mariah-cami-lioness/vp/v=1/1524828281.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2031048696&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_92","Lioness","Mariah Cami","LionessMariah Cami","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lione/lione30666124bd/lione30666124bd_1749231620054_2-0._QL90_UX1128_.jpg"
"1771964314-10","https://www.shopbop.com/clothing/br/v=1/13266.htm","https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000","Previous Price €317.98","JBQ","Leaf Top","","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/jbeeq/jbeeq3015112610/jbeeq3015112610_1745616312083_2-0._QL90_UX1128_.jpg","","","","JBQLeaf TopPrevious Price €317.98Sale Price €63.60","https://www.shopbop.com/leaf-top-jbq/vp/v=1/1533436466.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2052468816&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_91","JBQ","Leaf Top","JBQLeaf Top","https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/jbeeq/jbeeq3015112610/jbeeq3015112610_1745616312083_2-0._QL90_UX1128_.jpg"
