Product page URL,Product name,Brand name,Retailer,Product description,Color,Original price,Sale price,Product image URL,Size availability
https://www.shopbop.com/miremba-kimeze/vp/v=1/1505214815.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2056105616&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_100,Miremba Sunglasses,KIMEZE,Shopbop,KIMEZEMiremba Sunglasses,Tan,$415.00,$249.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kmeze/kmeze3003811841/kmeze3003811841_1761239173879_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/coca-necklace-maison-irem/vp/v=1/1510042289.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2081001256&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_99,Coca Necklace,Maison Irem,Shopbop,Maison IremCoca Necklace,Pink,$150.00,$90.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mirem/mirem3039011de9/mirem3039011de9_1758641953042_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/volly-acne-studios/vp/v=1/1590540326.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2059731472&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_DB_98,Volly Alpaca Scarf,Acne Studios,Shopbop,Acne StudiosVolly Alpaca Scarf,Grey/Light Grey,$420.00,$252.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/acndb/acndb3244757942/acndb3244757942_1759168097803_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/loop-earrings-lele-sadoughi/vp/v=1/1553003898.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2063767855&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_97,Loop Earrings,Lele Sadoughi,Shopbop,Lele SadoughiLoop Earrings,Pearl 100,$85.00,$51.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/leles/leles313161f420/leles313161f420_1757356622226_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/jet-dots-hinged-oval-bracelet/vp/v=1/1504393929.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2076105608&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_96,Jet Dots Hinged Oval Bracelet,Kenneth Jay Lane,Shopbop,Kenneth Jay LaneJet Dots Hinged Oval Bracelet,Turquoise/Ruby/Emerald/Pearl,$200.00,$120.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kjlan/kjlan415272754f/kjlan415272754f_1759959125507_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/peppermint-hoop-earrings-baublebar/vp/v=1/1572865191.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2097719697&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_95,Peppermint Hoop Earrings,BaubleBar,Shopbop,BaubleBarPeppermint Hoop Earrings,Red Small,$44.00,$26.40,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/baubl/baubl30686276f7/baubl30686276f7_1761583036390_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/organic-buckle-belt-frame/vp/v=1/1509369951.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2029138245&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_94,The Organic Buckle Belt,FRAME,Shopbop,FRAMEThe Organic Buckle Belt,Black,$278.00,$166.80,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/frame/frame3304322b0d/frame3304322b0d_1756591308238_2-0._QL90_UX1128_.jpg,XS
https://www.shopbop.com/frame-wisdom/vp/v=1/1538695061.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2006112895&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_93,Frame 43 Sunglasses,Wisdom,Shopbop,WisdomFrame 43 Sunglasses,Black,$240.00,$144.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wisdm/wisdm300251071b/wisdm300251071b_1756406513795_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/two-toned-rhinestone-emerald-eyes/vp/v=1/1546943018.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2060997596&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_92,Two Toned Rhinestone and Emerald Eyes Hedgehog Ring,Kenneth Jay Lane,Shopbop,Kenneth Jay LaneTwo Toned Rhinestone and Emerald Eyes Hedgehog Ring,Gold/Emerald,$112.50,$67.50,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kjlan/kjlan4152421844/kjlan4152421844_1760019559556_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/botanique-stud-shashi/vp/v=1/1535127081.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2008336654&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_91,Botanique Studs,SHASHI,Shopbop,SHASHIBotanique Studs,Gold,$96.00,$57.60,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/shash/shash431451c8e8/shash431451c8e8_1737648508274_2-0._QL90_UX1128_.jpg,One Size
