web_scraper_order,web_scraper_start_url,pagination,price,brand_name,product_name,image,item_page_title,item_page_link,data,data_1,Product_Name,product_image_url,size_availability,text_5,product_description
1771968464-1,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000,Previous Price €50.03,Good American,Compression Better Bikini Bottoms,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/gamer/gamer3117112952/gamer3117112952_1738268463732_2-0._QL90_UX1128_.jpg,Good AmericanCompression Better Bikini BottomsPrevious Price €50.03Sale Price €10.01,https://www.shopbop.com/compression-better-bikini-bottom-good/vp/v=1/1519865871.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2038716691&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_100,Good American,Compression Better Bikini Bottoms,Good AmericanCompression Better Bikini Bottoms,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/gamer/gamer3117112952/gamer3117112952_1738268463732_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size S: Gabriela (5'9"") usually wears size XS-SView all model measurementsSize Conversions","Moderate coverage

Shell: 80% nylon/20% elastane

Mesh lining

Lining: 95% polyester/5% elastane

Wash cold

Imported, China"
1771968468-2,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000,Previous Price €50.03,Good American,Square Neck Compression Swim Top,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/gamer/gamer3117012952/gamer3117012952_1743619744422_2-0._QL90_UX1128_.jpg,Good AmericanSquare Neck Compression Swim TopPrevious Price €50.03Sale Price €10.01,https://www.shopbop.com/square-neck-compression-swim-top/vp/v=1/1512799911.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2066595832&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_99,Good American,Square Neck Compression Swim Top,Good AmericanSquare Neck Compression Swim Top,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/gamer/gamer3117012952/gamer3117012952_1743619744422_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size XS: Gabriela (5'9"") usually wears size XS-SView all model measurementsSize Conversions","Square neckline

Shell: 80% nylon/20% elastane

Mesh lining

Lining: 95% polyester/5% elastane

Hand wash

Imported, China

Bottoms sold separately"
1771968474-3,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000,Previous Price €233.19,EB Denim,Ellie Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ebden/ebden3006310117/ebden3006310117_1755622757574_2-0._QL90_UX1128_.jpg,EB DenimEllie DressPrevious Price €233.19Sale Price €46.64,https://www.shopbop.com/ellie-dress-eb-denim/vp/v=1/1503245847.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2068826152&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_98,EB Denim,Ellie Dress,EB DenimEllie Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ebden/ebden3006310117/ebden3006310117_1755622757574_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size XS: Cher (5'11"") usually wears size XSView all model measurementsMeasurements from size XS
Length: 44.5in / 113.0cm, from shoulderSize Conversions","Fabric: Mid-weight stretch knit

Midi length

Scoop neck

Sleeveless

Snap placket

Shell: 100% cotton

Unlined

Wash cold

Made in the USA"
1771968479-4,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000,Previous Price €83.10,LE BOP,Cecilla Boxer Shorts,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lebop/lebop3014017a41/lebop3014017a41_1747751627353_2-0._QL90_UX1128_.jpg,ExclusiveLE BOPCecilla Boxer ShortsPrevious Price €83.10Sale Price €16.62,https://www.shopbop.com/cecilla-boxer-shorts-le-bop/vp/v=1/1525685428.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2062916103&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_EC_97,LE BOP,Cecilla Boxer Shorts,LE BOPCecilla Boxer Shorts,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lebop/lebop3014017a41/lebop3014017a41_1747751627353_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size XS: Alexis (5'8"") usually wears size XS-SView all model measurementsMeasurements from size XS
Rise: 11in / 28cm
Inseam: 3.25in / 8cmSize Conversions","Fabric: Lightweight, non-stretch silky weave

Fruit print

Covered elastic waistband

On-seam side pockets

Shell: 83% rayon/17% nylon

Dry clean

Made in the USA"
1771968483-5,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000,Previous Price €117.02,LE BOP,Cecillia Short Sleeve Top,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lebop/lebop3013917a41/lebop3013917a41_1747751585114_2-0._QL90_UX1128_.jpg,ExclusiveLE BOPCecillia Short Sleeve TopPrevious Price €117.02Sale Price €23.40,https://www.shopbop.com/cecillia-short-sleeve-top-le/vp/v=1/1587668121.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2050112113&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_EC_96,LE BOP,Cecillia Short Sleeve Top,LE BOPCecillia Short Sleeve Top,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lebop/lebop3013917a41/lebop3013917a41_1747751585114_2-0._QL90_UX1128_.jpg,"XXS

XS

S

M

L

XL

XXL","Rayon-blend fabric has a softened feel and offers no stretch.Shopbop’s expert stylist says: Runs large; designed with a relaxed silhouette. For a slimmer fit, size downModel measurements:
Size XS: Alexis (5'8"") usually wears size XS-SView all model measurementsMeasurements from size XS
Length: 26in / 66.0cm, from shoulderLE BOP Size Guide","Fabric: Lightweight, non-stretch silky weave

Fruit print

Collared neck

Button placket

Shell: 83% rayon/17% nylon

Dry clean

Made in the USA"
1771968487-6,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000,Previous Price €279.83,The Garment,Noah Mini Skirt,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/garme/garme3000422b0d/garme3000422b0d_1743991097540_2-0._QL90_UX1128_.jpg,The GarmentNoah Mini SkirtPrevious Price €279.83Sale Price €55.97,https://www.shopbop.com/noah-mini-skirt-garment/vp/v=1/1583559150.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2089036483&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_95,The Garment,Noah Mini Skirt,The GarmentNoah Mini Skirt,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/garme/garme3000422b0d/garme3000422b0d_1743991097540_2-0._QL90_UX1128_.jpg,"4

6

8

10

12

14","Model measurements:
Size 6: Liza (5'11"") usually wears size 4-6View all model measurementsMeasurements from size 6
Length: 13in / 33.0cmThe Garment Size Guide","Fabric: Lightweight, low-stretch weave

Contrast bubble hem

Hook-and-eye closures at waist, zip fly

Slant hip pockets and welt back pocket

Shell: 53% polyester/43% wool/4% elastane

Lined

Lining: 100% viscose

Dry clean

Imported, Romania"
1771968491-7,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000,Previous Price €83.95,WAYF,Marina Ruched Midi Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wayfa/wayfa20738135b5/wayfa20738135b5_1750952921391_2-0._QL90_UX1128_.jpg,WAYFMarina Ruched Midi DressPrevious Price €83.95Sale Price €16.79,https://www.shopbop.com/marina-ruched-midi-dress-wayf/vp/v=1/1516271288.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2028452887&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_94,WAYF,Marina Ruched Midi Dress,WAYFMarina Ruched Midi Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/wayfa/wayfa20738135b5/wayfa20738135b5_1750952921391_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size XS: Haley (5'9.5"") usually wears size SView all model measurementsMeasurements from size S
Length: 53.5in / 136.0cm, from shoulder to front hemWAYF Size Guide","Fabric: Lightweight, fine-gauge mesh knit with stretch

Floral print

Ruched at sides

Side slit

Midi length

Off-shoulder neckline

Sleeveless

Pullover design, no closure

Shell: 95% polyester/5% spandex

Unlined bodice, lined skirt

Lining: 100% polyester

Wash cold

Imported, China"
1771968496-8,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000,Previous Price €504.54,Kika Vargas,Rossy Leopard Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kvarg/kvarg301901a569/kvarg301901a569_1743686517873_2-0._QL90_UX1128_.jpg,Designer BoutiqueKika VargasRossy Leopard DressPrevious Price €504.54Sale Price €100.91,https://www.shopbop.com/rossy-dress-blue-leopard-kika/vp/v=1/1539931286.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2074373735&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_DB_93,Kika Vargas,Rossy Leopard Dress,Kika VargasRossy Leopard Dress,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kvarg/kvarg301901a569/kvarg301901a569_1743686517873_2-0._QL90_UX1128_.jpg,,"Model measurements:
Size 0: Brittany (5'9.5"") usually wears size 0View all model measurementsMeasurements from size 2
Length: 22.75in / 58.0cm, from center backSize Conversions","Fabric: Lightweight, non-stretch twill

Twist detail at bodice

Gathered sides

Leopard print

Mini length

Strapless

Hidden zip at back

On-seam side pockets

Shell: 100% polyester

Lined bodice, unlined skirt

Dry clean

Imported, Colombia"
1771968501-9,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000,Previous Price €55.12,Lioness,Humphrey Cami,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lione/lione3064110d92/lione3064110d92_1746649259901_2-0._QL90_UX1128_.jpg,LionessHumphrey CamiPrevious Price €55.12Sale Price €11.02,https://www.shopbop.com/humphrey-cami-lioness/vp/v=1/1571992348.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2016706133&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_92,Lioness,Humphrey Cami,LionessHumphrey Cami,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lione/lione3064110d92/lione3064110d92_1746649259901_2-0._QL90_UX1128_.jpg,"XXXXS

XXXS

XXS

XS

S

M

L

XL

XXL

XXXL

XXXXL","Model measurements:
Size XS: Isabella (5'9"") usually wears size XSView all model measurementsMeasurements from size S
Length: 18.5in / 47.0cm, from center backLioness Size Guide","Fabric: Lightweight stretch satin

Wired corset-style seams

Ruched cups

Sweetheart neckline

Hook-and-eye and zip at back

Shell: 95% polyester/5% elastane

Lined

Lining: 95% polyester/5% elastane

Hand wash

Imported, China

Adjustable tie shoulder straps"
1771968506-10,https://www.shopbop.com/clothing/br/v=1/13266.htm,https://www.shopbop.com/clothing/br/v=1/13266.htm?offset=17000,Previous Price €93.28,Lioness,Top Model Jeans,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lione/lione3064454006/lione3064454006_1747073238551_2-0._QL90_UX1128_.jpg,LionessTop Model JeansPrevious Price €93.28Sale Price €55.97,https://www.shopbop.com/top-model-jean-lioness/vp/v=1/1549750560.htm?os=false&breadcrumb=Shop+Women%27s%3EClothing&folderID=13266&colorSin=2003735862&fm=browse-page-web&ref_=SB_PLP_PDP_W_CLOTH_13266_NB_91,Lioness,Top Model Jeans,LionessTop Model Jeans,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/lione/lione3064454006/lione3064454006_1747073238551_2-0._QL90_UX1128_.jpg,"XXXXS

XXXS

XXS

XS

S

M

L

XL

XXL

XXXL

XXXXL","Model measurements:
Size XS: Cher (5'11"") usually wears size XSView all model measurementsMeasurements from size S
Rise: 10.75in / 27cm
Inseam: 31.5in / 80cm
Leg opening: 21.25in / 54cmLioness Size Guide","Fabric: Lightweight, non-stretch denim

Plaid pattern

Button closure and zip fly

5-pocket styling

Shell: 75% cotton/25% polyester

Hand wash

Imported, China"
